,sq_mi,pop_dens,lat,lng,rad,lex_div,zipf_fit,top_word
"New York, New York",302.6,27012.0,40.6643,-73.9385,23.68807316401463,0.1598537689950256,0.9543431072435338,the
"Los Angeles, California",468.7,8092.0,34.0194,-118.4108,26.696161040706194,0.13012012374696905,0.9540528962759529,rt
"Chicago, Illinois",227.6,11842.0,41.8376,-87.6818,22.055374949142333,0.14559704933148918,0.9510588770426782,the
"Houston, Texas",599.6,3501.0,29.7805,-95.3863,28.70240027709221,0.14406346213633128,0.9494163049104657,for
"Philadelphia, Pennsylvania",134.1,11379.0,40.0094,-75.1333,19.576073105040372,0.14431226410587167,0.952017813323499,the
"Phoenix, Arizona",516.7,2798.0,33.5722,-112.088,27.46093640247338,0.14587185502046823,0.9513978252017348,the
"San Antonio, Texas",460.9,2880.0,29.4724,-98.5251,26.568246365742716,0.15249080743464463,0.9505229378549847,i
"San Diego, California",325.2,4020.0,32.8153,-117.135,24.139137170102728,0.15454388389771942,0.9477218701601177,let
"Dallas, Texas",340.5,3518.0,32.7757,-96.7967,24.435655017366553,0.14100508408290965,0.9558717636749512,to
"San Jose, California",176.5,5359.0,37.2969,-121.8193,20.781813780694634,0.1351067364772023,0.960608847515397,the
"Austin, Texas",297.9,2653.0,30.3072,-97.756,23.59217403075146,0.14659376515719388,0.956327211020016,the
"Indianapolis, Indiana",361.4,2270.0,39.7767,-86.1459,24.83013667779185,0.14344862272437423,0.957637486109323,the
"Jacksonville, Florida",747.0,1120.0,30.337,-81.6613,30.713814756754353,0.16846650094101306,0.9484994123758822,the
"San Francisco, California",46.9,17179.0,37.7751,-122.4193,16.230186671787965,0.12493917494187828,0.9567995522773406,rt
"Columbus, Ohio",217.2,3624.0,39.9848,-82.985,21.808799042757087,0.09202532406989684,0.9601222921925913,orders
"Charlotte, North Carolina",297.7,2457.0,35.2087,-80.8307,23.588076495848632,0.12994131275523543,0.9564803504310121,the
"Fort Worth, Texas",339.8,2181.0,32.7795,-97.3463,24.422236088016952,0.13934677188373448,0.9556460412439548,to
"Detroit, Michigan",138.8,5144.0,42.383,-83.1022,19.718332906530076,0.14091579283821543,0.9513821847518299,to
"El Paso, Texas",255.2,2543.0,31.8484,-106.427,22.683683663821014,0.169280920807719,0.9508517980428204,the
"Memphis, Tennessee",315.1,2053.0,35.1035,-89.9785,23.939558954286092,0.1421368594522483,0.9585549680032418,the
"Seattle, Washington",83.9,7251.0,47.6205,-122.3509,17.864548632551177,0.1491619803726982,0.9514181973251011,the
"Denver, Colorado",153.0,3923.0,39.7618,-104.8806,20.134094508934616,0.15125856805483556,0.9546587758017743,the
"Washington, District of Columbia",61.0,9856.0,38.9041,-77.0171,16.910347175260295,0.1297001532063909,0.9651886859898656,the
"Boston, Massachusetts",48.3,12793.0,42.332,-71.0202,16.30193161678891,0.1494186046511628,0.9539532342337335,the
"Nashville, Tennessee",475.1,1265.0,36.1718,-86.785,26.800323802929704,0.13473139027114858,0.9587954474231083,the
"Baltimore, Maryland",80.9,7672.0,39.3002,-76.6105,17.747698113129804,0.12785551432786446,0.9487914279438983,the
"Oklahoma City, Oklahoma",606.4,956.0,35.4671,-97.5137,28.8003057544098,0.14242662607647438,0.9544577970503264,i
"Louisville, Kentucky",325.2,1837.0,38.1781,-85.6667,24.139137170102728,0.13949295880998225,0.956419821586393,the
"Portland, Oregon",133.4,4375.0,45.537,-122.65,19.554673462304834,0.149308967353873,0.9542575814105086,the
"Las Vegas, Nevada",135.8,4298.0,36.2277,-115.264,19.62781229644773,0.09864772650821263,0.9442131555747226,rt
"Milwaukee, Wisconsin",96.1,6188.0,43.0633,-87.9667,18.319477396916014,0.14984959005918091,0.9510567062531913,the
"Albuquerque, New Mexico",187.7,2908.0,35.1056,-106.6474,21.075287633653346,0.13973193496790914,0.9506495376928402,a
"Tucson, Arizona",226.7,2294.0,32.1543,-110.8711,22.03426236670149,0.1465042931478773,0.9533841043160352,the
"Fresno, California",112.0,4418.0,36.7827,-119.7945,18.870981440214546,0.15534117742033138,0.948677180402157,i
"Sacramento, California",97.9,4764.0,38.5666,-121.4686,18.384094326551384,0.15658925248138958,0.9542786819166066,the
"Long Beach, California",50.3,9191.0,33.8091,-118.1553,16.402644233914597,0.13004070665142675,0.9448596669114794,i
"Kansas City, Missouri",315.0,1460.0,39.1252,-94.5511,23.937567064677797,0.14401782812572542,0.9515989370386678,the
